Week,Sales,Time
2014-12-29,304.508,0
2015-01-05,2045.288,1
2015-01-12,4130.533,2
2015-01-19,3092.544,3
2015-01-26,2527.9139999999998,4
2015-02-02,968.534,5
2015-02-09,2771.054,6
2015-02-16,224.912,7
2015-02-23,2289.643,8
2015-03-02,4030.728,9
2015-03-09,4139.602,10
2015-03-16,11565.255000000001,11
2015-03-23,3998.777,12
2015-03-30,6199.852,13
2015-04-06,8418.293,14
2015-04-13,2198.37,15
2015-04-20,5660.104,16
2015-04-27,4974.812,17
2015-05-04,6332.464,18
2015-05-11,3967.87,19
2015-05-18,3526.054,20
2015-05-25,6523.232999999999,21
2015-06-01,8569.948,22
2015-06-08,8683.282000000001,23
2015-06-15,7873.0686,24
2015-06-22,5143.956999999999,25
2015-06-29,3158.4,26
2015-07-06,6290.629,27
2015-07-13,1387.6860000000001,28
2015-07-20,11224.846,29
2015-07-27,3255.66,30
2015-08-03,13454.076,31
2015-08-10,3187.942,32
2015-08-17,4366.4980000000005,33
2015-08-24,4901.8925,34
2015-08-31,4234.85,35
2015-09-07,18013.893,36
2015-09-14,9680.947,37
2015-09-21,7799.3838,38
2015-09-28,9432.359,39
2015-10-05,4751.272,40
2015-10-12,10468.226,41
2015-10-19,3882.9900000000002,42
2015-10-26,12058.484,43
2015-11-02,10942.895,44
2015-11-09,15130.8292,45
2015-11-16,13149.8675,46
2015-11-23,16191.363,47
2015-11-30,10377.992,48
2015-12-07,5360.2164999999995,49
2015-12-14,14172.013,50
2015-12-21,10632.52,51
2015-12-28,15880.6606,52
2016-01-04,1973.444,53
2016-01-11,1720.158,54
2016-01-18,358.522,55
2016-01-25,3212.952,56
2016-02-01,3249.49,57
2016-02-08,2071.846,58
2016-02-15,2234.554,59
2016-02-22,1853.541,60
2016-02-29,6066.2554,61
2016-03-07,5375.648,62
2016-03-14,3805.2560000000003,63
2016-03-21,5012.915,64
2016-03-28,2873.5840000000003,65
2016-04-04,6433.63,66
2016-04-11,11463.31,67
2016-04-18,4603.642,68
2016-04-25,7992.6365000000005,69
2016-05-02,4975.0,70
2016-05-09,4905.0615,71
2016-05-16,1444.85,72
2016-05-23,6551.177,73
2016-05-30,6851.104,74
2016-06-06,4550.428,75
2016-06-13,4637.075,76
2016-06-20,6242.707,77
2016-06-27,4014.966,78
2016-07-04,4291.266,79
2016-07-11,10366.159,80
2016-07-18,3955.135,81
2016-07-25,5230.165,82
2016-08-01,3837.8992000000003,83
2016-08-08,7272.986,84
2016-08-15,7085.682,85
2016-08-22,9893.518,86
2016-08-29,8162.043,87
2016-09-05,8243.94,88
2016-09-12,16783.826,89
2016-09-19,18316.365,90
2016-09-26,9591.275,91
2016-10-03,3987.545,92
2016-10-10,7220.4155,93
2016-10-17,5588.974,94
2016-10-24,6122.684,95
2016-10-31,12871.545,96
2016-11-07,16594.749200000002,97
2016-11-14,15075.134,98
2016-11-21,10878.8913,99
2016-11-28,18035.428,100
2016-12-05,15675.144,101
2016-12-12,11314.539999999999,102
2016-12-19,15693.207,103
2016-12-26,7873.2572,104
2017-01-02,5769.608,105
2017-01-09,2174.507,106
2017-01-16,3227.454,107
2017-01-23,2662.052,108
2017-01-30,9176.418,109
2017-02-06,3821.642,110
2017-02-13,2920.111,111
2017-02-20,2628.088,112
2017-02-27,5589.496,113
2017-03-06,6612.671,114
2017-03-13,9990.348,115
2017-03-20,4575.475,116
2017-03-27,7145.821,117
2017-04-03,9674.378999999999,118
2017-04-10,6402.828,119
2017-04-17,7107.204,120
2017-04-24,2779.046,121
2017-05-01,6158.461,122
2017-05-08,4767.564,123
2017-05-15,6374.249,124
2017-05-22,11462.786,125
2017-05-29,9791.489,126
2017-06-05,7889.09,127
2017-06-12,10713.721,128
2017-06-19,6026.288,129
2017-06-26,7617.454,130
2017-07-03,6771.07,131
2017-07-10,4431.985,132
2017-07-17,9716.872,133
2017-07-24,7499.496,134
2017-07-31,5045.558,135
2017-08-07,6791.8324999999995,136
2017-08-14,3783.892,137
2017-08-21,11572.969,138
2017-08-28,13203.8238,139
2017-09-04,12524.73,140
2017-09-11,13180.702,141
2017-09-18,13848.655,142
2017-09-25,9753.1413,143
2017-10-02,5512.238,144
2017-10-09,7439.001,145
2017-10-16,7879.198,146
2017-10-23,6625.845,147
2017-10-30,16321.3878,148
2017-11-06,17961.362,149
2017-11-13,10361.756,150
2017-11-20,16421.067,151
2017-11-27,23324.762000000002,152
2017-12-04,18961.002,153
2017-12-11,15557.06,154
2017-12-18,17948.247,155
2017-12-25,10921.185,156
2018-01-01,6001.002,157
2018-01-08,3168.609,158
2018-01-15,8254.808,159
2018-01-22,3536.2059999999997,160
2018-01-29,5776.3279999999995,161
2018-02-05,5409.749,162
2018-02-12,5648.0154,163
2018-02-19,4509.7519999999995,164
2018-02-26,6164.182,165
2018-03-05,6965.41,166
2018-03-12,8779.131,167
2018-03-19,12029.944,168
2018-03-26,9183.0098,169
2018-04-02,4869.0785,170
2018-04-09,5102.797,171
2018-04-16,5081.773,172
2018-04-23,5292.6326,173
2018-04-30,8802.8018,174
2018-05-07,8412.523000000001,175
2018-05-14,14571.618,176
2018-05-21,4357.192,177
2018-05-28,6581.8854,178
2018-06-04,6481.389999999999,179
2018-06-11,9450.82,180
2018-06-18,6318.9355,181
2018-06-25,17261.1922,182
2018-07-02,9194.642,183
2018-07-09,9998.841,184
2018-07-16,10896.305,185
2018-07-23,7218.922,186
2018-07-30,5205.628,187
2018-08-06,11128.53,188
2018-08-13,12494.562,189
2018-08-20,6656.624,190
2018-08-27,20946.612,191
2018-09-03,17672.048,192
2018-09-10,17808.713,193
2018-09-17,16298.16,194
2018-09-24,12296.062,195
2018-10-01,14021.518,196
2018-10-08,9270.971,197
2018-10-15,13270.8182,198
2018-10-22,7935.702,199
2018-10-29,16101.957,200
2018-11-05,20015.55,201
2018-11-12,17667.773,202
2018-11-19,19708.029,203
2018-11-26,33518.94,204
2018-12-03,21537.241,205
2018-12-10,11542.833999999999,206
2018-12-17,19457.068,207
2018-12-24,12330.9338,208
